"V1" "V2"
"theta_cur" 3.8871700359337 6.83296978550632
"theta_cur" 3.87348100574294 9.75487169346221
"theta_cur" 3.90770420769261 9.13808301217669
"theta_cur" 3.62611028330392 7.7634623711466
"theta_cur" 4.52904722005652 2.4239187762168
"theta_cur" 2.20822111320116 4.92609310931463
"theta_cur" 3.81507806890667 5.91128461431822
"theta_cur" 3.18271469846001 5.94180173257331
"theta_cur" 3.14143176172052 5.69773991570879
"theta_cur" 3.6716065787353 5.32924029814442
"theta_cur" 3.62742679645023 7.05095252226544
"theta_cur" 4.03262733420211 6.62901007856948
"theta_cur" 3.08247564165974 6.3924217602284
"theta_cur" 3.67249559013302 5.43859526881451
"theta_cur" 2.43882303009506 6.2608283839888
"theta_cur" 3.42124392609862 9.38923307172112
"theta_cur" 4.24528733319141 3.82581703873743
"theta_cur" 1.84994735233183 4.89467205292013
"theta_cur" 3.6656145457753 5.37455779757152
"theta_cur" 3.26865424475067 4.16542134972938
"theta_cur" 2.16246531390126 5.64494320151628
"theta_cur" 3.58760962068258 4.75518281984584
"theta_cur" 3.40793256913779 6.00771389362716
"theta_cur" 3.13266224935464 5.63895958309603
"theta_cur" 2.21662485398051 6.02356203155333
"theta_cur" 2.43805048121627 6.62155718018222
"theta_cur" 3.78275912241006 7.88819094998138
"theta_cur" 4.23869250864723 4.08114574950229
"theta_cur" 2.27056922960429 4.97301921379379
"theta_cur" 3.48427978611587 6.96521625236847
"theta_cur" 3.82729267191033 7.4027134490012
"theta_cur" 3.76323950973758 6.22582507678267
"theta_cur" 3.8553487937679 7.01249990317374
"theta_cur" 3.00573488690662 6.77626297823698
"theta_cur" 4.06825687185763 6.17091755551658
"theta_cur" 4.42405918397826 7.96598056756396
"theta_cur" 4.35517607158974 6.56676808863566
"theta_cur" 3.50450499892459 7.55353953873127
"theta_cur" 4.00082290269769 6.1591808142646
"theta_cur" 4.0964019643216 6.02363621831865
"theta_cur" 2.15686768296149 5.89845108014984
"theta_cur" 3.30312880293025 4.71648925631911
"theta_cur" 3.10887236497695 7.90464338764024
"theta_cur" 3.66905383597163 3.39671535233257
"theta_cur" 3.32308342175027 3.50416016420072
"theta_cur" 1.83758699892328 3.73390592917925
"theta_cur" 1.79689065056029 3.67974184550587
"theta_cur" 1.42669537774864 6.65071026311274
"theta_cur" 4.20104541802847 6.75081379608026
"theta_cur" 3.18720838318142 5.525335206953
"theta_cur" 3.69786611012299 5.40805500506219
"theta_cur" 3.79602547090232 5.13882457747867
"theta_cur" 2.63993212158818 6.78616268585668
"theta_cur" 4.00795981855027 3.71956972454928
"theta_cur" 2.76122831852382 3.81859362701887
"theta_cur" 1.66036755825992 3.79129885225987
"theta_cur" 2.96160443352109 6.1890658399565
"theta_cur" 2.42075822651312 6.48944265846536
"theta_cur" 3.62530381750253 3.65225882101582
"theta_cur" 3.3517896637364 4.74529676841358
"theta_cur" 2.49810130030732 4.98289330095789
"theta_cur" 1.66938532365779 5.87360660691998
"theta_cur" 2.52562318123581 7.14718592799513
"theta_cur" 3.4023759577511 3.5863534677529
"theta_cur" 2.99000933986667 7.05248397883452
"theta_cur" 3.30857870821046 5.35198281032529
"theta_cur" 1.13044894970829 4.94366937456867
"theta_cur" 3.49051023225915 3.56341070773375
"theta_cur" 1.33386115294318 6.46748814742585
"theta_cur" 3.20435872962401 6.47401466761633
"theta_cur" 3.79640352531679 5.96002954618837
"theta_cur" 2.10257149789508 6.12411967124113
"theta_cur" 2.30564358902568 7.36930061457151
"theta_cur" 3.76953857518779 5.44042704782039
"theta_cur" 4.1226372953955 7.70637728878279
"theta_cur" 3.48107055082664 8.13665436557682
"theta_cur" 3.9900526873906 4.4569184774188
"theta_cur" 3.22475283704089 4.02742816537175
"theta_cur" 4.4990120679768 6.2133829373196
"theta_cur" 3.38980337973632 6.35966834549976
"theta_cur" 3.98944517929914 4.43074800792176
"theta_cur" 3.67247356252928 4.10899398026604
"theta_cur" 2.73819581243682 5.95184181971428
"theta_cur" 3.41879224192182 6.71778349234848
"theta_cur" 4.07926827415015 5.67922545431856
"theta_cur" 4.25573652184577 6.08584519465715
